description,amount,category
orchestrate B2C portals,67.61,Healthcare
Haynes-Simon,19.10,Healthcare
benchmark synergistic portals,76.19,Transport
Miller Inc,19.75,Transport
strategize bricks-and-clicks web-readiness,45.45,Transport
Smith-Smith,34.67,Transport
synthesize proactive methodologies,62.08,Healthcare
Reed LLC,20.64,Transport
mesh dot-com functionalities,10.00,Healthcare
"Mathis, Coleman and Castillo",86.82,Groceries
envisioneer e-business mindshare,33.19,Healthcare
"Phillips, Dunlap and Flores",93.67,Utilities
revolutionize customized ROI,33.44,Utilities
Brown and Sons,54.60,Dining Out
disintermediate cross-media paradigms,75.26,Entertainment
"Patton, Dunlap and Hernandez",75.08,Healthcare
extend end-to-end eyeballs,90.35,Utilities
Ramirez-Phillips,18.35,Healthcare
disintermediate next-generation vortals,10.03,Transport
James-Perez,44.45,Dining Out
exploit mission-critical deliverables,35.83,Dining Out
Shannon-Jacobson,97.16,Dining Out
target killer applications,24.43,Groceries
Durham-Hamilton,21.32,Dining Out
synergize killer synergies,21.47,Transport
Torres-Powers,92.88,Groceries
reinvent strategic info-mediaries,76.28,Groceries
Martinez Ltd,56.98,Entertainment
seize end-to-end networks,88.81,Healthcare
"Rose, Higgins and Rogers",30.36,Healthcare
re-intermediate visionary infrastructures,27.34,Transport
Durham-Carter,47.17,Entertainment
evolve strategic architectures,31.81,Groceries
"Mendez, Davis and Giles",24.33,Transport
revolutionize best-of-breed vortals,18.40,Utilities
Williams Inc,18.02,Utilities
drive value-added solutions,43.25,Groceries
"Kelly, Day and Pierce",60.19,Groceries
leverage efficient vortals,62.04,Groceries
"Franklin, Powers and Carlson",91.89,Healthcare
incubate value-added web-readiness,58.96,Dining Out
Johnson-Jackson,31.26,Entertainment
empower transparent eyeballs,35.70,Utilities
Reed-Sanders,61.95,Healthcare
revolutionize vertical mindshare,81.12,Transport
White-Casey,81.17,Healthcare
reinvent one-to-one users,94.08,Dining Out
"Cochran, Arias and Tucker",72.96,Utilities
repurpose integrated solutions,43.11,Healthcare
Townsend-Lee,18.67,Healthcare
engage leading-edge info-mediaries,93.48,Entertainment
Walker-Gonzales,13.06,Dining Out
reinvent clicks-and-mortar users,84.69,Groceries
Mcdonald LLC,13.71,Healthcare
brand customized infrastructures,98.68,Transport
Robbins-Jones,42.02,Groceries
evolve dynamic bandwidth,46.60,Entertainment
Adams Inc,67.84,Groceries
empower e-business e-services,46.56,Utilities
Garza-Summers,50.33,Groceries
redefine user-centric content,94.13,Utilities
"Smith, West and Weiss",11.80,Utilities
seize world-class content,98.62,Groceries
Knight-Prince,71.15,Transport
morph out-of-the-box applications,45.87,Transport
Miller and Sons,72.87,Transport
extend robust metrics,85.34,Transport
"Castillo, Fox and Rodriguez",97.76,Utilities
streamline extensible relationships,80.28,Dining Out
Blevins-Holland,88.91,Transport
scale out-of-the-box e-tailers,41.73,Transport
Soto-Carter,13.46,Dining Out
monetize cross-platform users,49.56,Utilities
Williams Group,13.26,Entertainment
visualize collaborative applications,88.99,Entertainment
Lewis-Martinez,79.95,Healthcare
expedite frictionless ROI,80.38,Entertainment
Brown-House,75.72,Entertainment
repurpose visionary convergence,80.99,Groceries
Weaver-Cruz,67.86,Entertainment
grow seamless metrics,30.16,Groceries
Ward-Norman,24.42,Healthcare
drive open-source platforms,73.33,Entertainment
Ortiz-Brown,46.39,Dining Out
evolve clicks-and-mortar architectures,59.39,Dining Out
"Campos, Deleon and Harris",89.56,Utilities
reinvent revolutionary vortals,42.36,Entertainment
Thomas-Mckinney,56.92,Transport
embrace wireless supply-chains,89.65,Groceries
"Whitehead, Johnson and Banks",67.22,Dining Out
optimize efficient portals,75.71,Groceries
Goodwin PLC,66.71,Dining Out
monetize 24/7 vortals,13.52,Groceries
Andrews-Flores,41.66,Transport
architect impactful users,57.87,Utilities
Singh-Graham,12.40,Utilities
morph mission-critical bandwidth,50.37,Groceries
"Riddle, Perez and Barnes",83.96,Healthcare
scale strategic info-mediaries,12.71,Entertainment
Chapman-Ellis,59.68,Healthcare
redefine mission-critical communities,64.86,Entertainment
"Williams, Nguyen and Molina",33.11,Entertainment
transform innovative e-tailers,42.32,Groceries
Salazar-Stevenson,90.21,Utilities
grow clicks-and-mortar channels,33.75,Utilities
Miles-Morgan,92.27,Entertainment
synergize ubiquitous platforms,46.79,Utilities
Blair-Watson,28.03,Entertainment
integrate turn-key communities,24.41,Entertainment
King PLC,17.45,Transport
enable dot-com portals,17.85,Dining Out
"Moore, Smith and Frazier",95.31,Transport
revolutionize dynamic paradigms,66.98,Healthcare
Potter-Decker,94.53,Entertainment
productize frictionless paradigms,13.83,Transport
"Byrd, Wright and Chang",61.36,Utilities
deliver transparent e-business,78.50,Groceries
Ryan Group,23.97,Utilities
streamline 24/365 networks,22.99,Utilities
Hernandez-Hinton,70.78,Entertainment
utilize customized experiences,17.91,Entertainment
Garcia Group,22.53,Healthcare
morph turn-key users,76.32,Healthcare
"Chung, Hernandez and Ross",63.35,Healthcare
utilize magnetic schemas,14.43,Transport
"Nichols, Hodges and Stevenson",30.37,Groceries
exploit vertical paradigms,27.99,Transport
"Brown, Davis and Stewart",41.72,Dining Out
enhance plug-and-play web services,64.76,Transport
Lane Inc,38.90,Utilities
incentivize rich e-commerce,20.79,Healthcare
"Williams, Smith and Cherry",46.90,Utilities
seize interactive relationships,38.38,Transport
Martin-Prince,92.01,Entertainment
scale frictionless portals,86.17,Groceries
Lawrence LLC,96.68,Entertainment
e-enable customized communities,93.61,Groceries
Rios Group,19.07,Dining Out
synthesize world-class web-readiness,51.31,Entertainment
"Cortez, Potts and Hayes",59.27,Transport
leverage integrated mindshare,76.41,Healthcare
Thomas-Nichols,17.39,Entertainment
incentivize best-of-breed e-markets,23.84,Entertainment
Bush Ltd,57.51,Healthcare
benchmark bricks-and-clicks platforms,48.76,Healthcare
Lewis and Sons,84.20,Healthcare
enhance cross-platform deliverables,97.30,Healthcare
"Walker, Kerr and Schultz",65.25,Groceries
evolve user-centric web-readiness,45.14,Groceries
Steele-Miles,40.37,Healthcare
deliver interactive partnerships,36.29,Healthcare
Castillo and Sons,81.23,Dining Out
empower 24/365 e-markets,97.44,Entertainment
"White, Horton and Nixon",93.59,Utilities
grow next-generation systems,27.82,Utilities
"Wright, Reyes and Garrison",35.11,Transport
incentivize real-time deliverables,96.46,Healthcare
Cox PLC,69.98,Groceries
grow cutting-edge systems,52.12,Dining Out
Flores Group,95.22,Utilities
evolve bleeding-edge technologies,47.87,Transport
Hernandez-Price,85.57,Groceries
empower enterprise technologies,14.41,Utilities
"Gordon, Gonzalez and Hernandez",57.68,Utilities
deploy cross-platform eyeballs,44.04,Dining Out
Gonzales LLC,38.70,Utilities
morph bleeding-edge applications,47.63,Transport
"Rodriguez, Knapp and Smith",58.45,Groceries
innovate user-centric interfaces,76.76,Healthcare
Miller-Jarvis,13.78,Groceries
maximize dot-com technologies,10.45,Groceries
"Thompson, Jimenez and Reyes",77.07,Entertainment
syndicate web-enabled solutions,85.71,Utilities
White LLC,73.49,Utilities
synthesize plug-and-play action-items,12.40,Entertainment
Garcia-Schwartz,12.96,Dining Out
re-intermediate collaborative action-items,19.65,Healthcare
"Smith, Hall and Robertson",47.95,Utilities
implement transparent networks,66.74,Dining Out
Yang-Mcconnell,40.06,Dining Out
seize bricks-and-clicks synergies,54.89,Utilities
Thompson-Hurst,68.83,Transport
harness magnetic relationships,12.35,Healthcare
"Anderson, Mccarthy and Holmes",95.79,Entertainment
engage cross-platform paradigms,22.98,Healthcare
"Olson, Wilson and Johnson",99.62,Utilities
maximize proactive ROI,59.14,Utilities
Thornton Inc,12.49,Groceries
incentivize mission-critical action-items,74.83,Transport
Gonzalez Inc,12.97,Dining Out
drive visionary relationships,49.18,Dining Out
Anderson and Sons,17.39,Transport
optimize transparent communities,20.96,Healthcare
"Bender, Johnson and Jackson",62.36,Groceries
grow enterprise e-business,35.91,Dining Out
James Group,21.91,Dining Out
repurpose magnetic content,22.51,Entertainment
"Ramos, Williams and Dudley",96.48,Entertainment
envisioneer ubiquitous applications,82.63,Utilities
Mayer-Mcknight,93.90,Groceries
monetize leading-edge models,73.02,Utilities
"Gardner, Lee and Black",86.15,Healthcare
revolutionize best-of-breed bandwidth,17.41,Entertainment
"Lozano, Greer and Walls",68.24,Healthcare
utilize intuitive functionalities,59.11,Transport
Diaz PLC,71.54,Dining Out
repurpose viral initiatives,38.86,Transport
Sanders-Alexander,89.95,Groceries
productize front-end communities,45.89,Entertainment
Fritz Ltd,83.54,Dining Out
re-contextualize synergistic communities,25.63,Groceries
"Sims, Torres and Jordan",79.70,Healthcare
incubate bricks-and-clicks initiatives,17.90,Healthcare
Liu-Porter,71.76,Entertainment
streamline enterprise methodologies,72.29,Utilities
"Avila, Perry and Kelly",36.36,Utilities
aggregate virtual info-mediaries,91.76,Transport
"Reese, Cruz and Wood",77.26,Utilities
target global schemas,10.71,Dining Out
Johnson-Robinson,91.17,Utilities
unleash killer interfaces,56.04,Utilities
Anderson PLC,78.85,Utilities
integrate out-of-the-box e-markets,77.43,Entertainment
Mack Inc,25.12,Groceries
streamline visionary e-business,39.67,Groceries
Buck Inc,67.14,Entertainment
architect customized experiences,10.07,Groceries
Allen-Monroe,45.51,Healthcare
orchestrate frictionless bandwidth,18.04,Groceries
Benson-Pearson,79.83,Utilities
architect leading-edge vortals,80.00,Utilities
"Phillips, Perez and Morrison",44.26,Transport
visualize customized interfaces,29.03,Healthcare
Gibbs LLC,92.94,Healthcare
iterate transparent e-tailers,81.92,Healthcare
Wilkinson-Reed,49.77,Dining Out
incubate enterprise e-tailers,16.80,Groceries
Werner LLC,90.78,Dining Out
embrace proactive platforms,67.74,Utilities
Gutierrez and Sons,53.09,Entertainment
extend 24/7 vortals,95.39,Utilities
Fox-Bush,72.99,Healthcare
seize bleeding-edge solutions,94.43,Groceries
Harris-Pacheco,30.31,Healthcare
incubate efficient platforms,36.68,Groceries
Mason Ltd,79.85,Utilities
grow cross-media eyeballs,84.00,Entertainment
Roth Ltd,97.18,Healthcare
envisioneer compelling architectures,73.10,Groceries
"Young, Fuller and Watts",29.09,Entertainment
harness next-generation deliverables,92.54,Entertainment
Ortiz-Vasquez,12.63,Entertainment
brand holistic relationships,14.31,Utilities
"Johnson, Suarez and Harris",42.78,Groceries
innovate one-to-one metrics,29.63,Dining Out
Jones PLC,87.06,Dining Out
whiteboard vertical portals,23.42,Transport
Sullivan-Fisher,34.12,Transport
synthesize robust ROI,66.89,Transport
Jones LLC,71.71,Dining Out
architect viral content,65.52,Healthcare
Kim Group,27.20,Groceries
facilitate intuitive web services,28.32,Dining Out
Ramirez-Snyder,61.54,Utilities
drive cross-media synergies,21.70,Entertainment
"Howard, Cochran and Golden",33.93,Entertainment
reinvent sticky e-business,98.50,Utilities
Edwards-Barton,62.86,Healthcare
leverage magnetic mindshare,55.59,Groceries
Barajas-Clark,69.92,Healthcare
repurpose bricks-and-clicks synergies,12.06,Dining Out
Garcia PLC,60.57,Transport
aggregate web-enabled users,22.48,Healthcare
Barnett LLC,28.51,Groceries
cultivate efficient portals,46.80,Entertainment
"Williams, Hill and Miles",85.60,Groceries
synergize interactive metrics,54.64,Groceries
"Curtis, Thompson and Sawyer",85.98,Entertainment
facilitate collaborative metrics,94.21,Groceries
"Reed, Gonzalez and Martin",55.12,Healthcare
seize sticky ROI,64.75,Transport
Huang-Whitehead,33.36,Healthcare
aggregate interactive info-mediaries,71.08,Dining Out
Coffey Ltd,69.81,Transport
integrate one-to-one web-readiness,14.10,Healthcare
Brown and Sons,72.55,Entertainment
leverage strategic e-tailers,35.27,Healthcare
Moore-Bell,53.86,Dining Out
transform global e-business,20.36,Transport
Dunlap Ltd,46.32,Utilities
integrate wireless initiatives,64.48,Dining Out
Gordon-Smith,76.40,Transport
drive world-class bandwidth,12.95,Groceries
Hess Group,49.62,Groceries
cultivate best-of-breed relationships,17.91,Transport
Kelley and Sons,81.34,Healthcare
evolve viral eyeballs,65.16,Healthcare
Harris Inc,37.61,Dining Out
orchestrate distributed deliverables,54.45,Entertainment
Decker Inc,99.51,Entertainment
matrix B2C convergence,83.30,Utilities
"Ramirez, Green and Maxwell",68.86,Transport
brand distributed info-mediaries,68.30,Healthcare
Boyer PLC,48.82,Entertainment
transform 24/365 metrics,72.24,Utilities
Brown and Sons,81.85,Utilities
repurpose global technologies,68.81,Transport
"Johnson, Barr and Berger",96.24,Entertainment
strategize B2C ROI,45.65,Healthcare
Martinez-Carroll,74.61,Groceries
leverage out-of-the-box channels,96.13,Groceries
"Byrd, Dominguez and Melendez",46.39,Healthcare
streamline global info-mediaries,82.02,Groceries
Williams PLC,66.07,Groceries
seize revolutionary mindshare,75.65,Transport
Brown-Bennett,88.24,Transport
integrate customized e-commerce,14.70,Transport
Chandler-Hunter,85.36,Healthcare
target synergistic vortals,99.71,Groceries
Smith Inc,25.15,Dining Out
re-intermediate collaborative supply-chains,26.49,Entertainment
Butler Inc,26.45,Entertainment
synergize e-business paradigms,54.08,Groceries
Young-Stephens,55.37,Dining Out
aggregate extensible communities,84.44,Healthcare
Chen PLC,74.65,Entertainment
re-intermediate best-of-breed markets,46.32,Dining Out
"Brown, Ortiz and Jackson",12.73,Utilities
facilitate 24/7 action-items,43.55,Groceries
"Robinson, Hartman and Quinn",37.69,Groceries
orchestrate B2C e-tailers,29.53,Transport
"Anderson, George and Lopez",20.23,Groceries
monetize bleeding-edge solutions,20.95,Utilities
Parsons Inc,83.31,Entertainment
implement viral experiences,19.91,Healthcare
"Trujillo, Barajas and Allen",52.92,Healthcare
expedite global vortals,32.64,Transport
"Harris, Barajas and Bentley",14.55,Groceries
cultivate plug-and-play relationships,64.74,Dining Out
Caldwell Inc,80.84,Groceries
visualize leading-edge bandwidth,46.31,Groceries
"Barnes, Smith and Peterson",59.84,Utilities
maximize killer web-readiness,38.42,Dining Out
"Alvarez, Lopez and Bradshaw",12.13,Dining Out
optimize bleeding-edge markets,94.48,Healthcare
"Fuller, Martin and Carter",67.58,Utilities
target seamless vortals,90.83,Transport
Hughes-Forbes,27.28,Utilities
evolve cutting-edge action-items,78.89,Groceries
"Smith, Mueller and Rowland",77.74,Dining Out
grow distributed partnerships,98.83,Groceries
"Mitchell, Carr and Krueger",53.79,Dining Out
evolve innovative communities,76.51,Groceries
"Vance, Potts and Ballard",77.74,Dining Out
engineer proactive partnerships,80.62,Groceries
Myers PLC,41.85,Utilities
transition sticky e-business,80.31,Groceries
Jones-Butler,14.83,Transport
whiteboard customized info-mediaries,97.34,Groceries
Zamora-Johnson,63.59,Healthcare
disintermediate intuitive action-items,97.99,Transport
Freeman Ltd,94.04,Groceries
seize world-class solutions,33.35,Utilities
"Benton, Thomas and Miller",83.85,Dining Out
synthesize mission-critical models,19.79,Transport
Daniels LLC,73.75,Entertainment
synthesize viral initiatives,70.65,Entertainment
"Anderson, Murphy and Yu",54.25,Groceries
leverage leading-edge portals,50.88,Healthcare
Castro-Andrews,94.30,Utilities
disintermediate open-source action-items,55.25,Entertainment
"Parsons, Gomez and Evans",73.52,Entertainment
orchestrate virtual action-items,29.95,Groceries
"Romero, Graham and Fuller",67.67,Dining Out
exploit vertical deliverables,18.80,Healthcare
"Franklin, Davis and Keller",24.15,Entertainment
facilitate out-of-the-box ROI,27.59,Healthcare
Kirk Ltd,50.77,Groceries
incentivize plug-and-play functionalities,51.83,Groceries
"Taylor, Noble and Miller",80.91,Dining Out
benchmark rich infrastructures,36.19,Dining Out
"Lewis, Diaz and Fleming",55.07,Groceries
harness strategic systems,51.24,Entertainment
Phillips-Valdez,19.87,Healthcare
visualize magnetic info-mediaries,87.25,Entertainment
Davis-Fields,68.12,Groceries
cultivate strategic experiences,67.30,Utilities
Gill PLC,65.81,Transport
innovate granular niches,30.09,Healthcare
Hampton LLC,31.18,Groceries
incubate intuitive supply-chains,17.48,Entertainment
Boyd-Hull,86.57,Transport
morph leading-edge portals,73.95,Transport
Stanley PLC,69.81,Dining Out
optimize intuitive niches,10.67,Entertainment
